ABL1	[Nilotinib, Dasatinib, Regorafenib, Imatinib, Ponatinib , Bosutinib]
ABL2	[Dasatinib]
AKT1	[Arsenic trioxide]
ALAD	[Aminolevulinic acid]
ALDH1A1	[Tretinoin]
ALDH1A2	[Tretinoin]
ALK	[Crizotinib]
ANXA1	[Prednisone]
AR	[Enzalutamide ]
ATIC	[Pemetrexed]
BCL2	[Docetaxel, Paclitaxel, Venetoclax]
BCR	[Nilotinib]
BRAF	[Vemurafenib, Regorafenib, Sorafenib, Dabrafenib]
C1QA	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
C1QB	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
C1QC	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
C1R	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
C1S	[Rituximab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab]
CAMK2G	[Bosutinib]
CCND1	[Arsenic trioxide]
CD274	[Pembrolizumab]
CD33	[Gemtuzumab ozogamicin]
CD52	[Alemtuzumab]
CDH5	[Lenalidomide]
CDK2	[Bosutinib]
CDK4	[Palbociclib]
CDK6	[Palbociclib]
CHD1	[Epirubicin]
CMPK1	[Gemcitabine]
CSF1	[Sunitinib]
CSF1R	[Imatinib, Sunitinib]
CSF3R	[Filgrastim]
CSK	[Ponatinib ]
CTLA4	[Ipilimumab]
CXCR4	[Plerixafor]
CYP17A1	[Abiraterone ]
CYP19A1	[Anastrozole, Exemestane, Letrozole]
DCK	[Fludarabine]
DDR1	[Imatinib]
DHFR	[Methotrexate, Pemetrexed, Pralatrexate]
DHFRL1	[Methotrexate, Pralatrexate]
DNMT1	[Ifosfamide, Azacitidine, Decitabine]
DNMT3A	[Azacitidine, Decitabine]
DNMT3B	[Azacitidine, Decitabine]
DNMT3L	[Azacitidine, Decitabine]
EGFR	[Vandetanib, Afatinib, Erlotinib, Panitumumab, Lapatinib, Cetuximab, Gefitinib, Trastuzumab]
ELANE	[Filgrastim]
EPHA2	[Dasatinib, Regorafenib]
ERBB2	[ado-trastuzumab emtansine, Afatinib, Pertuzumab, Lapatinib, Trastuzumab]
ESR1	[Toremifene, Raloxifene, Megestrol, Tamoxifen, Fulvestrant]
ESR2	[Toremifene, Raloxifene, Tamoxifen, Fulvestrant]
FCGR1A	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FCGR2A	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FCGR2B	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FCGR2C	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FCGR3A	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FCGR3B	[Rituximab, Alemtuzumab, Cetuximab, Gemtuzumab ozogamicin, Trastuzumab, Bevacizumab]
FDFT1	[Pamidronate, Zoledronate]
FDPS	[Pamidronate, Zoledronate]
FGF1	[Pazopanib]
FGF2	[Sirolimus]
FGFR1	[Regorafenib, Sorafenib, Lenvatinib, Ponatinib , Palifermin]
FGFR2	[Regorafenib, Lenvatinib, Ponatinib , Palifermin, Thalidomide]
FGFR3	[Lenvatinib, Ponatinib , Palifermin, Pazopanib]
FGFR4	[Lenvatinib, Ponatinib , Palifermin]
FKBP1A	[Sirolimus]
FLT1	[Regorafenib, Cabozantinib, Vandetanib, Sunitinib, Sorafenib, Axitinib, Lenvatinib, Pazopanib]
FLT3	[Vandetanib, Sunitinib, Sorafenib, Ponatinib ]
FLT4	[Regorafenib, Cabozantinib, Vandetanib, Sunitinib, Sorafenib, Axitinib, Pazopanib]
FYN	[Dasatinib]
GART	[Pemetrexed]
GGPS1	[Zoledronate]
GNRHR	[Leuprolide, Goserelin, Degarelix]
GPRC5A	[Tretinoin]
HCK	[Bosutinib]
HDAC1	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC10	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC11	[Vorinostat]
